		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.812500	M = 1960	N = 8	m = 9	n = 15680
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    4    3    6    6    4    4    0    4  6.729565 0.566072 SUCCESS  76
100101000    1    1    2    4    3    3    5    2  6.797114 0.558673 SUCCESS  77
100110000    8    4    3    6    3    3    3    3  6.932212 0.543964 SUCCESS  78
100111000    4    1    5    2    3    3    4    5  4.162705 0.842153 SUCCESS  79
101000000    5    2    4    1    3    3    5    6  5.446135 0.709000 SUCCESS  80
101000100    3    2    5    4    5    2    3    4  2.913049 0.939695 SUCCESS  81
101001000    3    4    6    1    0    0    1    3 13.788431 0.087449 SUCCESS  82
101001100    1    2    0    6    2    2    4    6 11.322894 0.184066 SUCCESS  83
101010000    3    6    4    5    5    2    6    6  5.716331 0.678972 SUCCESS  84
101010100    3    2    2    4    5    3    4    1  4.669322 0.792264 SUCCESS  85
101011000    2    5    6    3    5    2    4    3  4.196479 0.838975 SUCCESS  86
101011100    0    7    4    5    2    4    5    6  9.634170 0.291647 SUCCESS  87
101100000    5    1    7    2    7    6    4    1 12.336129 0.136825 SUCCESS  88
101100100    6    3    6    4    5    3    3    5  3.892509 0.866689 SUCCESS  89
101101000    6    2    4    1    1    5    4    2  7.742799 0.458989 SUCCESS  90
101101100    2    2    3    2    5    3    4    7  6.155399 0.629830 SUCCESS  91
101110000    4    9    5    2    2    6    1    5 13.248040 0.103596 SUCCESS  92
101110100    4    8    0    2    4    4    2    0 14.396372 0.072001 SUCCESS  93
101111000    4    4    4    4    2    2    4    4  1.832266 0.985729 SUCCESS  94
101111100    5    5    5    7    4    4    5    4  4.297803 0.829305 SUCCESS  95
110000000    3    4    8    4    5    7    4    7 10.816277 0.212328 SUCCESS  96
110000010    7    2    7    4    3    3    7    6 10.782503 0.214330 SUCCESS  97
110000100    1    2    1    6    4    6    2    0 12.572550 0.127428 SUCCESS  98
110001000    3    4    3    1    4    4    6    3  3.993832 0.857680 SUCCESS  99
110001010    7    2    4    2    4    2    2    4  6.324271 0.610958 SUCCESS 100
110010000    5    5    3    6    2    5    1    4  5.648782 0.686506 SUCCESS 101
110010010    5    5    7    7    5    5    3    4  7.202408 0.514960 SUCCESS 102
110010100    1    3    3    3    2    4    6    2  5.750105 0.675201 SUCCESS 103
110011000    5    7    6    2    3    2    6    3  7.844123 0.448843 SUCCESS 104
110011010    6    4    5    4    7    5    6    3  6.290497 0.614727 SUCCESS 105
110100000    5    0    2    1    8    3    3    5 12.808971 0.118594 SUCCESS 106
110100010    2    2    2    3    3    6    4    4  4.331577 0.826037 SUCCESS 107
110100100    5    5    6    0    3    2    3    2  8.114319 0.422384 SUCCESS 108
110101000    4    4    6    5    7    3    5    5  5.378586 0.716451 SUCCESS 109
110101010    5    4    3    3    7    4    3    5  4.061381 0.851543 SUCCESS 110
110101100    2    5    6    6    6    5    6    4  6.830888 0.554984 SUCCESS 111
110110000    6    2    5    2    9    7    4    3 13.653333 0.091261 SUCCESS 112
110110010    4    3    5    5    1    2    3    7  6.898437 0.547629 SUCCESS 113
110110100    4    2    5    2    1    2    5    3  5.750105 0.675201 SUCCESS 114
110111000    5    5    3    4    4    6    2    7  5.885203 0.660089 SUCCESS 115
110111010    3    6    3    3    3    4    3    2  3.081921 0.929112 SUCCESS 116
110111100    2    4    5    3    2    6    2    1  6.662016 0.573498 SUCCESS 117
111000000    3    4    4    1    5    4    3    5  3.284568 0.915251 SUCCESS 118
111000010    4    5    3    6    4    8    3    5  7.168633 0.518553 SUCCESS 119
111000100    2    6    4    5    4    4    5    2  3.858734 0.869639 SUCCESS 120
111000110    6    3    8    5    3    4    3    5  7.337506 0.500694 SUCCESS 121
111001000    2    3    5    5    1    4    4    1  6.121624 0.633610 SUCCESS 122
111001010    1    6    2    2    2    6    7    3 10.309660 0.243961 SUCCESS 123
111001100    3    9    4    3    3    4    4    5  8.215642 0.412694 SUCCESS 124
111010000    2    5    0    3    6    5    3    5  7.607702 0.472697 SUCCESS 125
111010010    6    4    5    5    2    1    2    4  5.986526 0.648741 SUCCESS 126
111010100    6    3    4    6    7    2    6    4  7.709025 0.462397 SUCCESS 127
111010110    2    2    5    4    5    5    6    3  4.399126 0.819438 SUCCESS 128
111011000    6    2    4    3    9    1    5    4 12.167256 0.143896 SUCCESS 129
111011010    3    4    4    6    1    6    3    4  5.108390 0.745931 SUCCESS 130
111011100    6    3    3    3    3    6    2    5  4.567998 0.802592 SUCCESS 131
111100000    3    3    2    5    5    3    8    6  8.215642 0.412694 SUCCESS 132
111100010    4    5    3    5    5    1    7    2  7.101084 0.525767 SUCCESS 133
111100100    4    3    4    4    3    5    3    2  1.832266 0.985729 SUCCESS 134
111100110    5    9    6    5    2    5    5    3 11.154022 0.193124 SUCCESS 135
111101000    2    4    0    5    3    4    3    6  6.864663 0.551303 SUCCESS 136
111101010    5    2    1    4    9    3    3    7 13.788431 0.087449 SUCCESS 137
111101100    4    4    4    7    3    2    3    8  8.756034 0.363293 SUCCESS 138
111101110    6    2    4    1    5    6    2    5  7.269957 0.507806 SUCCESS 139
111110000    3    4    5    4    4    6    7    3  4.804420 0.778261 SUCCESS 140
111110010    2    5    5    4    2    3    8    3  7.641476 0.469251 SUCCESS 141
111110100    4    4    1    7    3    4    2    9 13.248040 0.103596 SUCCESS 142
111110110    2    5    5    5    2    5    4    5  3.689862 0.883966 SUCCESS 143
111111000    3    8    3    3    3    6    8    4 11.491767 0.175361 SUCCESS 144
111111010    2    5    2    6    7    4    2    6  8.384515 0.396839 SUCCESS 145
111111100    2    7    7    5    2    4    3    2  8.722259 0.366265 SUCCESS 146
111111110    2    8    6    7    1    5    2    4 13.079167 0.109155 SUCCESS 147

