		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.812500	M = 1960	N = 8	m = 9	n = 15680
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    1    4    6    6    3    3    4    6  6.391820 0.603430 SUCCESS  76
100101000    6    1    2    2    2    3    7    1 11.154022 0.193124 SUCCESS  77
100110000    6    5    3    5    6    4    1    3  5.851429 0.663870 SUCCESS  78
100111000    2    9    2    6    2    2    5    3 12.673873 0.123574 SUCCESS  79
101000000    3    2    4    6    2    2    4    3  4.331577 0.826037 SUCCESS  80
101000100    8    4    0    1    4    3    6    3 12.471227 0.131385 SUCCESS  81
101001000    2    7    5    6    2    3    3    5  6.932212 0.543964 SUCCESS  82
101001100    4    2    8    7    6    4    1    2 12.707648 0.122312 SUCCESS  83
101010000    4    1    1    4    7    4    2    2  8.823583 0.357396 SUCCESS  84
101010100    3    3    2    2    8    5    4    3  7.438829 0.490109 SUCCESS  85
101011000    6    3    7    2    4    6    5    6  8.080544 0.425642 SUCCESS  86
101011100    3    4    2    5    3    2    4    1  4.669322 0.792264 SUCCESS  87
101100000    5    2    3    5    0    3    7    3  8.857357 0.354472 SUCCESS  88
101100100    2    2    4    3    2    7    3    1  7.911672 0.442146 SUCCESS  89
101101000    4    3    1    7    5    4    6    3  6.932212 0.543964 SUCCESS  90
101101100    4    3    3    1    5    4    5    2  4.162705 0.842153 SUCCESS  91
101110000    6    3    5    3    6    2    4    2  5.108390 0.745931 SUCCESS  92
101110100    2    2    8    5    4    6    3    2  9.262651 0.320626 SUCCESS  93
101111000    1    5    8    3    4    9    4    3 14.902989 0.061059 SUCCESS  94
101111100    1    7    6    6    1    3    7    3 12.707648 0.122312 SUCCESS  95
110000000    5    4    3    4    3    6    3    5  2.609079 0.956450 SUCCESS  96
110000010    5    4    4    8    6    1    3    0 12.673873 0.123574 SUCCESS  97
110000100   10    7    2    2    3    3    3    4 15.409606 0.051654 SUCCESS  98
110001000    2    5    4    3    7    2    3    3  5.446135 0.709000 SUCCESS  99
110001010    2    3    4    1    2    8    6    9 17.402301 0.026182 SUCCESS 100
110010000    3    4    3    4    3    2    2    9  9.600396 0.294200 SUCCESS 101
110010010    3    7    1    3    0   10    2    2 21.286366 0.006424 FAILURE 102
110010100    5    2    3    5    2    3    2    2  4.669322 0.792264 SUCCESS 103
110011000    4    2    6    4    5    2    1    4  5.615007 0.690268 SUCCESS 104
110011010    2    3    6    8    2    2    2    5 10.140787 0.255283 SUCCESS 105
110100000    1    4    2    2    1    3    3    2  7.303731 0.504245 SUCCESS 106
110100010    6    3    3    1    5    3    6    3  5.817654 0.667649 SUCCESS 107
110100100    1    7    6    3    3    4    2    4  7.438829 0.490109 SUCCESS 108
110101000    5    2    1    4    5    2    4    1  6.830888 0.554984 SUCCESS 109
110101010    4    3    2    2    5    2    1    2  6.256722 0.618499 SUCCESS 110
110101100    5    3    3    2    3    4    5    5  2.575304 0.958127 SUCCESS 111
110110000    5    1    1    6    1    4    6    2 10.275885 0.246194 SUCCESS 112
110110010    4    4    5    5    6    6    1    1  7.641476 0.469251 SUCCESS 113
110110100    5    7    4    6    4    5    1    1  9.093779 0.334447 SUCCESS 114
110111000    7    2    3    2    5    2    6    3  7.438829 0.490109 SUCCESS 115
110111010    1    3    8    5    6    3    2    4  9.803043 0.279123 SUCCESS 116
110111100    3    6    5    2    4    9    2    5 11.289120 0.185849 SUCCESS 117
111000000    4    5    5    5    8    8    5    5 11.390443 0.180542 SUCCESS 118
111000010    3    4    2    1    1    2    4    4  6.256722 0.618499 SUCCESS 119
111000100    2    4    4    1    4    1    5    3  5.750105 0.675201 SUCCESS 120
111000110    5    6    7    1    4    4    3    5  7.134859 0.522155 SUCCESS 121
111001000    6    4    8    6    2    3    3    7 11.322894 0.184066 SUCCESS 122
111001010    3    2    2    4    5    5    2    2  4.500449 0.809388 SUCCESS 123
