		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.812500	M = 1960	N = 8	m = 9	n = 15680
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    9    7    5    8    5    8    1    5 22.772443 0.003669 FAILURE  76
100101000    1    3    3    5    5    6    4    5  4.939518 0.764021 SUCCESS  77
100110000    6    2    5    3    5    2    5    3  4.567998 0.802592 SUCCESS  78
100111000    3    4    3    3    2    4    2    3  2.507755 0.961368 SUCCESS  79
101000000    5    4    6    3    2    4    6    6  5.344811 0.720166 SUCCESS  80
101000100    5    3    7    5    1    6    4    6  8.418289 0.393712 SUCCESS  81
101001000    2    6    2    5    8    3    5    3  8.924906 0.348670 SUCCESS  82
101001100    3    5    5    1    4    0    2    2  8.789808 0.360337 SUCCESS  83
101010000    4    7    3    4    4    6    3    8  9.161328 0.328870 SUCCESS  84
101010100    2    8    8    2    1    6    2    5 15.949998 0.043101 SUCCESS  85
101011000    5    4    4    2    2    5    2    6  4.736871 0.785294 SUCCESS  86
101011100    0    8    4    2    3    6    2    4 11.930835 0.154317 SUCCESS  87
101100000    4    5    3    8    6    7    1    2 12.369903 0.135447 SUCCESS  88
101100100    6    3    4    4    5    4    7    8  9.363974 0.312528 SUCCESS  89
101101000    3    7    6    1    4    2    2    5  8.519612 0.384425 SUCCESS  90
101101100    5    4    7    4    6    5    2    3  5.885203 0.660089 SUCCESS  91
101110000    7    3    6    1    4    7    5    5  9.870592 0.274226 SUCCESS  92
101110100    0    6    9    4    3    2    5    3 14.126176 0.078535 SUCCESS  93
101111000    2    2    2    2    3    5    1    2  7.134859 0.522155 SUCCESS  94
101111100    2    5    8    4    1    2    4    3  9.228877 0.323358 SUCCESS  95
110000000    6    1    3    7    6    5    1    5 10.546081 0.228768 SUCCESS  96
110000010    3    5    1    4    4    8    2    3  8.519612 0.384425 SUCCESS  97
110000100    4    4    6    6    2    6    2    4  5.682556 0.682741 SUCCESS  98
110001000    2    4    4    3    3    5    1    6  5.074616 0.749572 SUCCESS  99
110001010    3    5    2    2    3    4    5    4  2.913049 0.939695 SUCCESS 100
110010000    6    8    7    8    3    7    6    5 18.111565 0.020405 SUCCESS 101
110010010    2    2    5    4    4    2    6    5  4.736871 0.785294 SUCCESS 102
110010100    3    6    2    4    6    3    2    2  5.615007 0.690268 SUCCESS 103
110011000    6    1    5    3    2    6    7    3  9.093779 0.334447 SUCCESS 104
110011010    8    6    3    5    3    1    5    4  9.296425 0.317910 SUCCESS 105
110100000    6    6    4    1    3    2    5    5  6.560693 0.584684 SUCCESS 106
110100010    6    4    7    4    4    3    6    6  6.830888 0.554984 SUCCESS 107
110100100    4    5    0    5    8    1    2    3 12.640099 0.124847 SUCCESS 108
110101000    7    6    1    7    5    9    6    3 18.044016 0.020899 SUCCESS 109
110101010    3    5    4    2    4    5    2    4  2.744176 0.949372 SUCCESS 110
110101100    6    3    3    5    2    3    4    4  3.115696 0.926888 SUCCESS 111
110110000    2    6    4    6    6    3    4    3  5.142165 0.742279 SUCCESS 112
110110010    4    3    5    6    7    2    2    2  7.269957 0.507806 SUCCESS 113
110110100    4    2    4    2    4    2    2    4  3.588538 0.892211 SUCCESS 114
110111000    6    3    4    3    4    3    5    2  3.115696 0.926888 SUCCESS 115
110111010    0    7    6    3    2    1    6    4 12.471227 0.131385 SUCCESS 116
110111100    1    1    5    3    5    2    1    3  8.418289 0.393712 SUCCESS 117
111000000    7    1    3    3    1    4    1    5  9.904366 0.271802 SUCCESS 118
111000010    3    4   10    5    3    8    4    4 15.848675 0.044598 SUCCESS 119
111000100    1    3    3    5    3    3    4    2  4.128930 0.845308 SUCCESS 120
111000110    2    8    6    4    4    2    2    2  9.600396 0.294200 SUCCESS 121
111001000    5    6    7    4    3    6    3    3  6.256722 0.618499 SUCCESS 122
111001010    5    8    3    4    4    7    3    8 12.977844 0.112614 SUCCESS 123
111001100    4    2    6    4    3    2    7    3  6.189173 0.626051 SUCCESS 124
111010000    4    3    5    5    2    3    4    3  2.203785 0.974118 SUCCESS 125
111010010    2    4    3    5    4    3    2    3  2.710402 0.951197 SUCCESS 126
111010100    5    8    1    3    6    6    7    8 17.503624 0.025272 SUCCESS 127
111010110    5    4    3    5    3    2    3    2  3.081921 0.929112 SUCCESS 128
111011000    2    5    2    2    4    3    7    4  5.986526 0.648741 SUCCESS 129
111011010    1    1    2    5    3    3    2    4  6.797114 0.558673 SUCCESS 130
111011100    3    4    4    4    3    4    5    4  0.785257 0.999275 SUCCESS 131
111100000    1    0    3    2    3    3    2    4  8.384515 0.396839 SUCCESS 132
111100010    3    2    2    2    5    2    5    1  6.628242 0.577221 SUCCESS 133
111100100    1    4    5    2    4    5    3    7  6.729565 0.566072 SUCCESS 134
111100110    8    2    2    5    5    1    4    3  9.600396 0.294200 SUCCESS 135
111101000    6    3    4    7    7    5    3    6  8.823583 0.357396 SUCCESS 136
111101010    6    6    1    3    5    7    4    5  8.418289 0.393712 SUCCESS 137
111101100    4    3    4    2    5    2    6    5  4.027607 0.854624 SUCCESS 138
111101110    2    2    5    5    3    3    7    2  6.526918 0.588423 SUCCESS 139
111110000    2    3    5    3    1    3    2    5  5.209713 0.734945 SUCCESS 140
111110010    2    2    4    4    2    6    4    6  5.277262 0.727572 SUCCESS 141
111110100    6    4    3    6    5    4    3    4  3.352117 0.910359 SUCCESS 142
111110110    3    1    5    5    8    2    3    6 10.174562 0.252987 SUCCESS 143
111111000    1    3    3    2    3    4    4    3  3.757411 0.878321 SUCCESS 144
111111010    6    3    4    3    5    4    3    5  2.609079 0.956450 SUCCESS 145
111111100    3    5    2    3    3    4    4    4  1.832266 0.985729 SUCCESS 146
111111110    3    5    3    4    4    4    4    6  2.068687 0.978833 SUCCESS 147

