		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.812500	M = 1960	N = 8	m = 9	n = 15680
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    4    8    6    5    5    3    1    5  9.499072 0.301957 SUCCESS  76
100101000    5    4    4    6    4    5    2    2  3.858734 0.869639 SUCCESS  77
100110000    3    5    4    2    7    4    3    4  4.399126 0.819438 SUCCESS  78
100111000    2    2    7    7    1    4    7    5 12.538776 0.128735 SUCCESS  79
101000000    5    4    2    5    3    2    6    7  6.763340 0.562369 SUCCESS  80
101000100    6    9    3    2    2    4    3    2 11.593090 0.170303 SUCCESS  81
101001000    1    1    3    5    2    7    1    4 10.613630 0.224567 SUCCESS  82
101001100    2    4    3    3    2    6    5    4  3.824960 0.872561 SUCCESS  83
101010000    3    2    4    5    2    4    4    1  4.500449 0.809388 SUCCESS  84
101010100    6    1    5    6    3    4    5    4  5.682556 0.682741 SUCCESS  85
101011000    1    3    6    3    2    5    6    2  7.236182 0.511378 SUCCESS  86
101011100    7    4    7    4    5    5    4    5  6.662016 0.573498 SUCCESS  87
101100000    1    3    1    3    2    6    4    0 10.748728 0.216347 SUCCESS  88
101100100    1    3    7    5    5    2    6    5  8.384515 0.396839 SUCCESS  89
101101000    4    2    4    3    6    3    4    5  2.946823 0.937650 SUCCESS  90
101101100    5    4    1    9    2    5    2    2 12.842746 0.117376 SUCCESS  91
101110000    2    4    3    5    2    4    5    5  3.115696 0.926888 SUCCESS  92
101110100    4    4    2    1    4    2    4    3  4.128930 0.845308 SUCCESS  93
101111000    3    2    4    0    6    4    5    6  7.979221 0.435503 SUCCESS  94
101111100    3    4   11    4    3    3    3    3 14.869215 0.061739 SUCCESS  95
110000000    3    4    2    5    4    3    3    3  2.001138 0.980977 SUCCESS  96
110000010    1    5    4    5    3    6    5    5  5.142165 0.742279 SUCCESS  97
110000100    1    6    4    5    3    2    4    3  5.074616 0.749572 SUCCESS  98
110001000    6    9    7    3    4    5    2    7 15.510930 0.049940 SUCCESS  99
110001010    5    4    2    4    6    6    3    3  4.230254 0.835775 SUCCESS 100
110010000    3    8    5    5    7    2    4    2 10.208336 0.250707 SUCCESS 101
110010010    2    2    3    2    1    3    7    1 10.039464 0.262267 SUCCESS 102
110010100    6    3    5    6    6    5    3    2  5.885203 0.660089 SUCCESS 103
110011000    6    6    4    0    5    6    4    6  9.499072 0.301957 SUCCESS 104
110011010    2    3    4    5    5    3    4    7  4.770645 0.781785 SUCCESS 105
110100000    3    6    2    3    7    3    4    9 12.741422 0.121062 SUCCESS 106
110100010    8    7    0    3    3    2    3    2 13.720882 0.089337 SUCCESS 107
110100100    0    1    2    4    2    7    5    2 11.863286 0.157409 SUCCESS 108
110101000    2    4    4    4    5    4    4    3  1.494521 0.992798 SUCCESS 109
110101010    3    1    6    3    3    4    4    4  3.993832 0.857680 SUCCESS 110
110101100    1    3    3    5    3    3    3    2  4.297803 0.829305 SUCCESS 111
110110000    0    5    1    3    2    3    3    3  8.046770 0.428915 SUCCESS 112
110110010    3    3    6    5    7    4    5    2  6.054075 0.641175 SUCCESS 113
110110100    4    4    3    1    6    5    2    4  4.905743 0.767601 SUCCESS 114
110111000    5    4    2    2    3    2    7    3  6.155399 0.629830 SUCCESS 115
110111010    4    8    1    2    8    5    5    3 13.450686 0.097255 SUCCESS 116
110111100    3    1    4    2    6    3    6    7  8.722259 0.366265 SUCCESS 117
111000000    1    4    4    3    5    2    2    4  4.500449 0.809388 SUCCESS 118
111000010    0    3    5   10    5    1    5    7 20.475778 0.008678 FAILURE 119
111000100    4    5    5    2    5    1    4    5  4.567998 0.802592 SUCCESS 120
111000110    7    1    6    2    4    3    5    3  7.810348 0.452212 SUCCESS 121
111001000    7    9    0    4    5    2    4    3 15.409606 0.051654 SUCCESS 122
111001010    7    3    4    6    5    6    3    2  6.965986 0.540307 SUCCESS 123
111001100    6    6    7    0    4    4    5    6 10.951375 0.204470 SUCCESS 124
111010000    6    6    1    3    3    6    3    6  7.844123 0.448843 SUCCESS 125
111010010    2    3    1    3    4    7    4    3  6.324271 0.610958 SUCCESS 126
111010100    6    8    7    4    5    5    3    5 10.107013 0.257595 SUCCESS 127
111010110    1    3    4    6    6    4    5    4  5.311037 0.723873 SUCCESS 128
111011000    3    3    3    4    2    1    6    7  7.607702 0.472697 SUCCESS 129
111011010    5    2    3    2    7    6    6    5  8.046770 0.428915 SUCCESS 130
111011100    5    2    4    3    0    2    2    3  7.337506 0.500694 SUCCESS 131
111100000    2    5    5    1    4    0    2    5  8.992455 0.342933 SUCCESS 132
111100010    3    4    3    0    4    6    1    3  7.911672 0.442146 SUCCESS 133
111100100    3    4    0    3    5    2    7    5  8.688485 0.369253 SUCCESS 134
111100110    3   10    5    1    4    4    6    5 14.734117 0.064526 SUCCESS 135
111101000    5    5    2    3    3    4    1    5  4.534224 0.805999 SUCCESS 136
111101010    5    2    4    3    4    8    2    5  7.472604 0.486603 SUCCESS 137
111101100    3    5    7    4    4    2    5    4  4.601773 0.799167 SUCCESS 138
111101110    6    4    3    5    5    1    3    4  4.567998 0.802592 SUCCESS 139
111110000    2    5    2    5    5    2    2    3  4.871969 0.771169 SUCCESS 140
111110010    2    2    4    3    4    3    7    4  4.905743 0.767601 SUCCESS 141
111110100    3    5    2    5    5    3    1    2  5.412360 0.712729 SUCCESS 142
111110110    4    1    4    2    3    4    2    6  5.412360 0.712729 SUCCESS 143
111111000    5    5    1    5    5    3    1    5  6.358046 0.607193 SUCCESS 144
111111010    4    5    6    5    3    9    2    1 12.538776 0.128735 SUCCESS 145
111111100    4    3    2    2    5    2    4    3  3.419666 0.905334 SUCCESS 146
111111110    4    4    3    4    4    4    3    3  0.582610 0.999762 SUCCESS 147

