		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.812500	M = 1960	N = 8	m = 9	n = 15680
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    2    5    2    6    4    4    2    5  4.736871 0.785294 SUCCESS  76
100101000    2    4    3    4    2    5    4    5  2.744176 0.949372 SUCCESS  77
100110000    5    6    1    5    8    6    1    1 14.497695 0.069681 SUCCESS  78
100111000    5    6    6    4    3    3    4    4  3.352117 0.910359 SUCCESS  79
101000000    3    4    4    7    4    5    7    2  6.965986 0.540307 SUCCESS  80
101000100    0    6    4    5    2    4    1    3  8.823583 0.357396 SUCCESS  81
101001000    3    6    2    3    2    6    6    5  6.391820 0.603430 SUCCESS  82
101001100    5    2    2    5    1    7    2    2  9.195102 0.326106 SUCCESS  83
101010000    1    3    3    2    6    4    2    4  5.581233 0.694024 SUCCESS  84
101010100    1   10    5    2    3    6    2    2 16.997007 0.030140 SUCCESS  85
101011000    2    4    1    0    5    2    4    1 10.377209 0.239542 SUCCESS  86
101011100    6    2    5    3    3    1    1    5  7.573927 0.476156 SUCCESS  87
101100000    6    4    2    4    3    5    1    2  5.783880 0.671426 SUCCESS  88
101100100    3    4    2    2    3    8    2    6  9.060004 0.337259 SUCCESS  89
101101000    2    2    6    6    1    1    3    6 10.107013 0.257595 SUCCESS  90
101101100    9    4    5    2    1    5    5    7 14.193725 0.076854 SUCCESS  91
101110000    7    3    2    5    3    2    2    5  6.526918 0.588423 SUCCESS  92
101110100    6    5    4    3    2    0    6    4  7.979221 0.435503 SUCCESS  93
101111000    2    1    2    1    4    1    7    5 11.322894 0.184066 SUCCESS  94
101111100    4    3    4    1    4    4    4    3  2.541530 0.959766 SUCCESS  95
110000000    2    3    4    4    5    4    6    1  4.905743 0.767601 SUCCESS  96
110000010    5    2    5    2    2    6    3    3  5.074616 0.749572 SUCCESS  97
110000100    3    2    1    5    0    6    4    2  9.701719 0.286589 SUCCESS  98
110001000    3    1    6    3    5    2    1    4  7.202408 0.514960 SUCCESS  99
110001010    3    4    3    2    4    3    6    4  2.744176 0.949372 SUCCESS 100
110010000    3    6    3    4    2    2    1    8 10.309660 0.243961 SUCCESS 101
110010010    6    0    3    5    5    6    2    3  8.519612 0.384425 SUCCESS 102
110010100    1    5    4    5    5    4    3    5  3.858734 0.869639 SUCCESS 103
110011000    4    6    2    2    6    5    2    2  6.526918 0.588423 SUCCESS 104
110011010    2    4    3    3    3    2    2    4  3.217019 0.920009 SUCCESS 105
110100000    2    2    1    4    3    2    4    5  5.378586 0.716451 SUCCESS 106
110100010    1    4    7    5    5    3    3    2  6.898437 0.547629 SUCCESS 107
