		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.812500	M = 1960	N = 8	m = 9	n = 15680
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    6    6    1    3    6    2    2    7 10.714954 0.218379 SUCCESS  76
100101000    2    5    2    2    2    5    7    3  7.236182 0.511378 SUCCESS  77
100110000    8    8    3    2    3    7    9    3 20.914846 0.007377 FAILURE  78
100111000    1    4    3    3    6    3    2    2  5.750105 0.675201 SUCCESS  79
101000000    5    3    6    4    2    2    6    5  5.311037 0.723873 SUCCESS  80
101000100    3    9    4    3    0    1    3    5 14.261274 0.075204 SUCCESS  81
101001000    4    2    6    6    6    6    3    4  6.256722 0.618499 SUCCESS  82
101001100    4    7    5    5    1    3    6    5  7.506378 0.483108 SUCCESS  83
101010000    3    5    3    8    4    6    6    4  8.080544 0.425642 SUCCESS  84
101010100    1    4    5    4    5    5    4    6  4.601773 0.799167 SUCCESS  85
101011000    3    3    2    3    2    1    3    2  5.513684 0.701523 SUCCESS  86
101011100    3    1    2    4    8    4    0    6 13.180491 0.105789 SUCCESS  87
101100000    4    2    5    2    4    1    4    2  5.209713 0.734945 SUCCESS  88
101100100    3    3    5    4    5    2    2    1  5.040841 0.753202 SUCCESS  89
101101000    1    7    4    4    1    4    4    2  7.945446 0.438817 SUCCESS  90
101101100    4    3    1    6    2    5    6    2  7.067310 0.529388 SUCCESS  91
101110000    3    1    2    3    6    4    2    5  5.952752 0.652524 SUCCESS  92
101110100    5    5    7    5    3    6    4    4  5.378586 0.716451 SUCCESS  93
101111000    4    4    1    1    8    5    3    0 13.518235 0.095219 SUCCESS  94
101111100    1    7   11    2    4    3    2    5 21.185042 0.006672 FAILURE  95
110000000    4    4    5    5    4    3    3    1  3.284568 0.915251 SUCCESS  96
110000010    2    8    5    1    4    3    4    4  8.350740 0.399980 SUCCESS  97
110000100    4    2    2    2    2    4    4    5  3.960058 0.860709 SUCCESS  98
110001000    1    2    3    6    2    5    4    3  5.952752 0.652524 SUCCESS  99
110001010    6    7    1    2    4    2    1    9 17.368526 0.026492 SUCCESS 100
110010000    6    2    2    5    3    4    4    2  4.534224 0.805999 SUCCESS 101
110010010    5    4    2    1    5    5    4    2  5.074616 0.749572 SUCCESS 102
110010100    4    2    2    3    5    4    6    3  3.824960 0.872561 SUCCESS 103
110011000    8    2    4    2    2    4    6    7 11.457992 0.177074 SUCCESS 104
110011010    4    9    9    4    2    4    4    5 15.848675 0.044598 SUCCESS 105
110100000    3    1    5    4    4    3    3    4  3.081921 0.929112 SUCCESS 106
110100010    3    9    3    1    5    6    0    2 16.253968 0.038886 SUCCESS 107
110100100    5    5    4    6    2    6    5    6  5.918978 0.656307 SUCCESS 108
110101000    7    2    5    9    3    4   11    7 28.176360 0.000442 FAILURE 109
110101010    2    5    5    3    3    4    5    5  2.777951 0.947510 SUCCESS 110
110101100    3    5    3    5    5    1    4    4  3.656087 0.886744 SUCCESS 111
110110000    5    2    4    1    5    4    4    6  5.108390 0.745931 SUCCESS 112
110110010    2    2    5    6    6    1    4    1  9.026230 0.340088 SUCCESS 113
110110100    1    7    2    3    4    2    5    1  9.363974 0.312528 SUCCESS 114
110111000    1    2    2    4    8    3    4    2  9.735494 0.284084 SUCCESS 115
110111010    8    7    3    5    5    7    4    2 12.065933 0.148286 SUCCESS 116
110111100    5    2    2    4    4    7    4    0  8.857357 0.354472 SUCCESS 117
111000000    2    1    2    4    2    3    4    2  5.885203 0.660089 SUCCESS 118
111000010    5    2    5    2    3    2    4    4  3.622313 0.889492 SUCCESS 119
111000100    2    3    3    3    5    6    6    1  6.526918 0.588423 SUCCESS 120
111000110    3    5    0    4    6    2    1    5  9.195102 0.326106 SUCCESS 121
111001000    3    1    5    4    5    5    3    3  3.824960 0.872561 SUCCESS 122
111001010    4    4    3    6    4    4    2    2  3.284568 0.915251 SUCCESS 123
111001100    5    2    3    1    3    4    5    4  4.162705 0.842153 SUCCESS 124
111010000    2    1    5    2    4    2    6    3  6.662016 0.573498 SUCCESS 125
111010010    3    6    2    5    3    3    4    7  5.851429 0.663870 SUCCESS 126
111010100    5    2    3    4    2    5    8    4  7.472604 0.486603 SUCCESS 127
111010110    5    7    3    5    2    3    2    3  5.817654 0.667649 SUCCESS 128
111011000    4    1    4    6    6    4    5    5  5.513684 0.701523 SUCCESS 129
111011010    2    1    3    6    4    3    4    3  4.871969 0.771169 SUCCESS 130
111011100    3    2    1    1    5    2    4    5  6.999761 0.536658 SUCCESS 131
111100000    2    5    4    2    4    6    1    4  5.615007 0.690268 SUCCESS 132
111100010    3    5    5    4    6    4    4    2  3.149470 0.924630 SUCCESS 133
111100100    3    3    4    2    6    5    4    1  5.074616 0.749572 SUCCESS 134
111100110    3    3    5    2    2    6    6    4  5.108390 0.745931 SUCCESS 135
111101000    3    3    3    2    6    2    3    3  3.960058 0.860709 SUCCESS 136
111101010    3    3    4    4    2    4    2    5  2.541530 0.959766 SUCCESS 137
111101100    3    1    6    4    5    2    4    4  4.905743 0.767601 SUCCESS 138
111101110    4    2    2    3    3    6    2    5  4.703096 0.788787 SUCCESS 139
111110000    2    6    7    2    4    3    2    5  7.269957 0.507806 SUCCESS 140
111110010    2    4    3    3    4    3    1    0  7.506378 0.483108 SUCCESS 141
111110100    3    4    2    4    3    1    3    1  5.716331 0.678972 SUCCESS 142
111110110    4    1    4    4    5    2    3    1  5.750105 0.675201 SUCCESS 143
111111000    2    5    7    2    2    3    3    7  8.891132 0.351563 SUCCESS 144
111111010    6    2    1    5    4    3    5    3  5.446135 0.709000 SUCCESS 145
111111100    1    5    1    6    3    4    5    5  6.898437 0.547629 SUCCESS 146
111111110    6    1    3    7    5    4    2    4  7.641476 0.469251 SUCCESS 147

